Ingredient,Effects
" BALM LEAVES, EXTRACT (MELISSA OFFICINALIS L.)", FLAVORING AGENT OR ADJUVANT
" BALM, OIL (MELISSA OFFICINALIS L.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" FIR, BALSAM, NEEDLES AND TWIGS (ABIES BALSAMEA (L.) MILL.)", FLAVORING AGENT OR ADJUVANT
" BALSAM FIR, OIL (ABIES BALSAMEA (L.) MILL.)", FLAVORING AGENT OR ADJUVANT
" BALSAM FIR, OLEORESIN (ABIES BALSAMEA (L.) MILL.)", FLAVORING AGENT OR ADJUVANT
" BALSAM, PERU (MYROXYLON PEREIRAE KLOTZSCH)", FLAVORING AGENT OR ADJUVANT
" BALSAM, PERU, OIL (MYROXYLON PEREIRAE KLOTZSCH)", FLAVORING AGENT OR ADJUVANT
 BASIL (OCIMUM BASILICUM L.), FLAVORING AGENT OR ADJUVANT
 BASIL BUSH (OCIMUM MINIMUM L.), FLAVORING AGENT OR ADJUVANT
" BASIL, EXTRACT (OCIMUM BASILICUM L.)", FLAVORING AGENT OR ADJUVANT
" BASIL, OIL (OCIMUM BASILICUM L.)"," EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT"
" BASIL, OLEORESIN (OCIMUM BASILICUM L.)", FLAVORING AGENT OR ADJUVANT
 BAY (LAURUS NOBILIS L.), FLAVORING AGENT OR ADJUVANT
" BAY LEAVES, SWEET, EXTRACT (LAURUS NOBILIS L.)", FLAVORING AGENT OR ADJUVANT
" BAY LEAVES, SWEET, OIL (LAURUS NOBILIS L.)", FLAVORING AGENT OR ADJUVANT
" BAY LEAVES, WEST INDIAN, EXTRACT (PIMENTA ACRIS KOSTEL)", FLAVORING AGENT OR ADJUVANT
" BAY LEAVES, WEST INDIAN, OIL (PIMENTA RACEMOSA (MILL.) J.W. MOORE)", FLAVORING AGENT OR ADJUVANT
" BAY LEAVES, WEST INDIAN, OLEORESIN (PIMENTA ACRIS KOSTEL)", FLAVORING AGENT OR ADJUVANT
" BEECHWOOD, CREOSOTE (FAGUS SPP.)", FLAVORING AGENT OR ADJUVANT
 BEESWAX," FLAVORING AGENT OR ADJUVANT, LUBRICANT OR RELEASE AGENT, SURFACE-FINISHING AGENT"
" BEESWAX, BLEACHED", FLAVORING AGENT OR ADJUVANT
 BENTONITE," DOUGH STRENGTHENER, FLOUR TREATING AGENT, OXIDIZING OR REDUCING AGENT, PROCESSING AID, STABILIZER OR THICKENER"
 BENZALDEHYDE, FLAVORING AGENT OR ADJUVANT
 BENZALDEHYDE DIMETHYL ACETAL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BENZALDEHYDE GLYCERYL ACETAL, FLAVORING AGENT OR ADJUVANT
 BENZALDEHYDE PROPYLENE GLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 BENZENE,Not Available
 BENZENETHIOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-BENZOFURANCARBOXALDEHYDE, FLAVORING AGENT OR ADJUVANT
 BENZOIN," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" BENZOIN, RESIN (STYRAX SPP.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BENZOTHIAZOLE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 N-BENZOYLANTHRANILIC ACID, FLAVORING AGENT OR ADJUVANT
 BENZOYL PEROXIDE," COLOR OR COLORING ADJUNCT, FLOUR TREATING AGENT"
 BENZYL ACETATE, FLAVORING AGENT OR ADJUVANT
 BENZYL ACETOACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BENZYL ALCOHOL," FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 BENZYL BENZOATE," FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 BENZYL BUTYL ETHER, FLAVORING AGENT OR ADJUVANT
 BENZYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 BENZYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
" BENZYL 2,3-DIMETHYLCROTONATE", FLAVORING AGENT OR ADJUVANT
 BENZYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 BENZYL ETHYL ETHER, FLAVORING AGENT OR ADJUVANT
 BENZYL FORMATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 3-BENZYL-4-HEPTANONE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BENZYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 BENZYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 BENZYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 BENZYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 BENZYL LEVULINATE, FLAVORING AGENT OR ADJUVANT
 BENZYL MERCAPTAN," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BENZYL METHOXYETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 BENZYL TRANS-2-METHYL-2-BUTENOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BENZYL METHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 BENZYL NONANOATE, FLAVORING AGENT OR ADJUVANT
 BENZYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 BENZYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 BENZYL SALICYLATE, FLAVORING AGENT OR ADJUVANT
" BERGAMOT, OIL (CITRUS AURANTIUM L. SUBSP. BERGAMIA WRIGHT ET ARN.)", FLAVORING AGENT OR ADJUVANT
 BETAINE, FLAVORING AGENT OR ADJUVANT
 BIOTIN," NUTRIENT SUPPLEMENT, SEQUESTRANT"
 BIPHENYL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" BIRCH, SWEET, OIL (BETULA LENTA L.)", FLAVORING AGENT OR ADJUVANT
" BIRCH TAR, OIL (BETULA PENDULA ROTH AND RELATED BETULA SPP.)", FLAVORING AGENT OR ADJUVANT
 BISABOLENE," ANTIMICROBIAL AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" BIS(2,5-DIMETHYL-3-FURYL) DISULFIDE", FLAVORING AGENT OR ADJUVANT
 BIS(1-MERCAPTOPROPYL)SULFIDE, FLAVORING AGENT OR ADJUVANT
 BIS-(METHYLTHIO)METHANE, FLAVORING AGENT OR ADJUVANT
 BIS(2-METHYL-3-FURYL) DISULFIDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BIS(2-METHYLPHENYL) DISULFIDE, FLAVORING AGENT OR ADJUVANT
 BIS(2-METHYL-3-FURYL) TETRASULFIDE, FLAVORING AGENT OR ADJUVANT
" BLACKBERRY BARK, EXTRACT (RUBUS, SPP. OF SECTION EUBATUS)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BLACKBERRY FRUIT EXTRACT, FLAVORING AGENT OR ADJUVANT
" BOIS DE ROSE, OIL (ANIBA ROSAEODORA DUCKE)", FLAVORING AGENT OR ADJUVANT
 BOLDUS LEAVES (PEUMUS BOLDUS MOL.),Not Available
" BONITO, DRIED",Not Available
 BORIC ACID, LUBRICANT OR RELEASE AGENT
 BORNEOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BORNYL ACETATE, FLAVORING AGENT OR ADJUVANT
 L-BORNYL ACETATE, FLAVORING AGENT OR ADJUVANT
 BORNYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 BORNYL FORMATE, FLAVORING AGENT OR ADJUVANT
 BORNYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 BORNYL VALERATE, FLAVORING AGENT OR ADJUVANT
" BORONIA, ABSOLUTE (BORONIA MEGASTIGMA NEES)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" BOUILLON, VEGETABLE, SMOKE",Not Available
 BETA-BOURBONENE, FLAVORING AGENT OR ADJUVANT
 BROMELAIN," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, TEXTURIZER"
 BROMINATED VEGETABLE OIL,Not Available
 BRYONIA ROOT (BRYONIA SPP.), FLAVORING AGENT OR ADJUVANT
 BUCHU LEAVES (BAROSMA BETULINA AND CRENULATA), FLAVORING AGENT OR ADJUVANT
 BUCHU LEAVES EXTRACT," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" BUCHU LEAVES, OIL (BAROSMA SPP.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUCKBEAN LEAVES (MENYANTHES TRIFOLIATA L.)," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" BUCKBEAN LEAVES, EXTRACT (MENYANTHES TRIFOLIATA L.)", FLAVORING AGENT OR ADJUVANT
 BUTADIENE-STYRENE RUBBER, MASTICATORY SUBSTANCE
 4-(METHYLTHIO)BUTANAL, FLAVORING AGENT OR ADJUVANT
 BUTANAL DIBENZYL THIOACETAL, FLAVORING AGENT OR ADJUVANT
 N-BUTANE, PROPELLANT
" 1,2-BUTANEDITHIOL"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" 1,3-BUTANEDITHIOL"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" 2,3-BUTANEDITHIOL"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 1-BUTANETHIOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-BUTANOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-BUTANONE, FLAVORING AGENT OR ADJUVANT
 BUTAN-3-ONE-2-YL BUTANOATE, FLAVORING AGENT OR ADJUVANT
 (E)-2-BUTENOIC ACID, FLAVORING AGENT OR ADJUVANT
" 4-(2-BUTENYLIDENE)-3,5,5-TRIMETHYLCYCLOHEX-2-EN-1-ONE", FLAVORING AGENT OR ADJUVANT
 3-BUTENYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 1-BUTEN-1-YL METHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 BUTTER ACIDS," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTTER ESTERS," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" BUTTER FAT, ENZYME-MODIFIED, WITH ADDED BUTYRIC ACID"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, TEXTURIZER"
 BUTTER STARTER DISTILLATE," FLAVORING AGENT OR ADJUVANT, MALTING OR FERMENTING AID"
 BUTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 BUTYL ACETOACETATE, FLAVORING AGENT OR ADJUVANT
 BUTYL ALCOHOL," FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 BUTYLAMINE, FLAVORING AGENT OR ADJUVANT
 SEC-BUTYLAMINE, FLAVORING AGENT OR ADJUVANT
 BUTYL ANTHRANILATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYLATED HYDROXYANISOLE," ANTIMICROBIAL AGENT, ANTIOXIDANT, DOUGH STRENGTHENER, FLAVOR ENHANCER, FLOUR TREATING AGENT, OXIDIZING OR REDUCING AGENT"
 BUTYLATED HYDROXYTOLUENE," ANTIOXIDANT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-BUTYL-2-BUTENAL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 BUTYL BUTYRYLLACTATE, FLAVORING AGENT OR ADJUVANT
 ALPHA-BUTYLCINNAMALDEHYDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 BUTYL 2-DECENOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" 1,3-BUTYLENE GLYCOL"," FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 BUTYL ETHYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 BUTYL ETHYL MALONATE, FLAVORING AGENT OR ADJUVANT
 BUTYL FORMATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-BUTYLFURAN, FLAVORING AGENT OR ADJUVANT
 BUTYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 BUTYL HEXANOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYL P-HYDROXYBENZOATE, FLAVORING AGENT OR ADJUVANT
 ALPHA-BUTYL-OMEGA-HYDROXYPOLY(OXYETHYLENE) POLY(OXYPROPYLENE)," BOILER WATER ADDITIVE, SURFACE-ACTIVE AGENT"
 3-BUTYLIDENEPHTHALIDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 BUTYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 2-BUTYLISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 BUTYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 BUTYL LACTATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYL LAURATE, FLAVORING AGENT OR ADJUVANT
 BUTYL LEVULINATE, FLAVORING AGENT OR ADJUVANT
 N-BUTYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 BUTYL BETA-(METHYLTHIO)ACRYLATE, FLAVORING AGENT OR ADJUVANT
 BUTYL BETA-NAPHTHYL ETHER, FLAVORING AGENT OR ADJUVANT
 BUTYL OLEATE SULFATE,Not Available
" 2-BUTYL-5 OR 6-KETO-1,4-DIOXANE", FLAVORING AGENT OR ADJUVANT
 BUTYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 3-N-BUTYLPHTHALIDE, FLAVORING AGENT OR ADJUVANT
 BUTYL PROPIONATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYL SALICYLATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYL STEARATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID"
 BUTYL SULFIDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYL 10-UNDECENOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BUTYL VALERATE, FLAVORING AGENT OR ADJUVANT
 BUTYRALDEHYDE, FLAVORING AGENT OR ADJUVANT
 BUTYRAMIDE, FLAVORING AGENT OR ADJUVANT
 BUTYRIC ACID," ANTIOXIDANT, FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT"
 2-BUTYRYLFURAN, FLAVORING AGENT OR ADJUVANT
 CADINENE, FLAVORING AGENT OR ADJUVANT
 CAFFEINE, FLAVORING AGENT OR ADJUVANT
" CAJEPUT, OIL (MELALEUCA LEUCADENDRON L.)", FLAVORING AGENT OR ADJUVANT
 CALAMUS EXTRACT--PROHIBITED,Not Available
 CALAMUS OIL--PROHIBITED, FLAVORING AGENT OR ADJUVANT
 CALAMUS--PROHIBITED, FLAVORING AGENT OR ADJUVANT
 CALCIUM ACETATE," COLOR OR COLORING ADJUNCT, FIRMING AGENT, FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT, PROCESSING AID, SEQUESTRANT, STABILIZER OR THICKENER, TEXTURIZER"
 CALCIUM ASCORBATE, ANTIOXIDANT
 CALCIUM BENZOATE, ANTIMICROBIAL AGENT
 CALCIUM BROMATE," DOUGH STRENGTHENER, LEAVENING AGENT"
 CALCIUM CAPRATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 CALCIUM CAPRYLATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 CALCIUM CASEINATE," COLOR OR COLORING ADJUNCT, FORMULATION AID, NUTRIENT SUPPLEMENT, STABILIZER OR THICKENER, TEXTURIZER"
 CALCIUM CYCLAMATE--PROHIBITED, NON-NUTRITIVE SWEETENER
 CALCIUM DIGLUTAMATE,Not Available
 CALCIUM FUMARATE, NUTRIENT SUPPLEMENT
 CALCIUM GLYCEROPHOSPHATE," NUTRIENT SUPPLEMENT, STABILIZER OR THICKENER"
 CALCIUM HEXAMETAPHOSPHATE, SEQUESTRANT
 CALCIUM HYDROXIDE," FIRMING AGENT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, PROCESSING AID"
 CALCIUM HYPOPHOSPHITE, ANTIOXIDANT
 CALCIUM IODATE," DOUGH STRENGTHENER, FLOUR TREATING AGENT, NUTRIENT SUPPLEMENT, PROCESSING AID"
 CALCIUM LACTOBIONATE, FIRMING AGENT
 CALCIUM LAURATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 CALCIUM LIGNOSULFONATE, SURFACE-ACTIVE AGENT
 CALCIUM MYRISTATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 CALCIUM OLEATE, STABILIZER OR THICKENER
 CALCIUM OXIDE," ANTICAKING AGENT OR FREE-FLOW AGENT, DOUGH STRENGTHENER, FIRMING AGENT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, PROCESSING AID, TEXTURIZER"
 CALCIUM PALMITATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 CALCIUM PANTOTHENATE, NUTRIENT SUPPLEMENT
" CALCIUM PANTOTHENATE, CALCIUM CHLORIDE DOUBLE SALT", NUTRIENT SUPPLEMENT
 CALCIUM PEROXIDE," DOUGH STRENGTHENER, FLOUR TREATING AGENT, OXIDIZING OR REDUCING AGENT, SEQUESTRANT"
" CALCIUM PHOSPHATE, DIBASIC"," ANTICAKING AGENT OR FREE-FLOW AGENT, DOUGH STRENGTHENER, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, HUMECTANT, LEAVENING AGENT, MASTICATORY SUBSTANCE, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, STABILIZER OR THICKENER"
" CALCIUM PHOSPHATE, TRIBASIC"," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, HUMECTANT, LEAVENING AGENT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, TEXTURIZER"
 CALCIUM PHYTATE,Not Available
 CALCIUM PYROPHOSPHATE, NUTRIENT SUPPLEMENT
 CALCIUM SALTS OF FATTY ACIDS," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 CALCIUM SILICATE," ANTICAKING AGENT OR FREE-FLOW AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, LUBRICANT OR RELEASE AGENT"
 CALCIUM SORBATE, PRESERVATIVE
 CALCIUM STEARATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, LUBRICANT OR RELEASE AGENT, STABILIZER OR THICKENER"
 CALCIUM STEAROYL-2-LACTYLATE," DOUGH STRENGTHENER, EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, TEXTURIZER"
 CALUMBA ROOT (JATRORRHIZA PALMATA (LAM.) MIERS)," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" CALUMBA ROOT, EXTRACT (JATRORRHIZA PALMATA (LAM.) MIERS)", FLAVORING AGENT OR ADJUVANT
 CAMPHENE," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT"
 CAMPHOLENE ACETATE, FLAVORING AGENT OR ADJUVANT
 ALPHA-CAMPHOLENIC ALCOHOL, FLAVORING AGENT OR ADJUVANT
 D-CAMPHOR," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" CAMPHOR, JAPANESE, WHITE, OIL (CINNAMOMUM CAMPHORA (L.) NEES ET EBERM.)"," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" CAMPHOR OIL, FORMOSAN HO-SHO, LEAVES (CINNAMOMUM CAMPHORA)", FLAVORING AGENT OR ADJUVANT
" CANANGA, OIL (CANANGA ODORATA HOOK. F. AND THOMS.)"," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT"
 CANDELILLA WAX (WAX FROM STEMS AND BRANCHES OF EUPHORBIA CERIFERA)," FLAVORING AGENT OR ADJUVANT, LUBRICANT OR RELEASE AGENT, MASTICATORY SUBSTANCE, PROCESSING AID, SURFACE-FINISHING AGENT"
 CANDIDA GUILLIERMONDII, PROCESSING AID
 CANDIDA LIPOLYTICA,Not Available
 CANTHAXANTHIN, COLOR OR COLORING ADJUNCT
 CAPERS (CAPPARIS SPINOSA L.)," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 CAPROLACTAM, FLAVORING AGENT OR ADJUVANT
 CAPSICUM (CAPSICUM SPP.)," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 CAPSICUM EXTRACT (CAPSICUM SPP.), FLAVORING AGENT OR ADJUVANT
" CAPSICUM, OLEORESIN (CAPSICUM SPP.)"," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT"
 CARAMEL," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT, NUTRITIVE SWEETENER, SOLVENT OR VEHICLE"
 CARAWAY (CARUM CARVI L.), FLAVORING AGENT OR ADJUVANT
" CARAWAY, BLACK (NIGELLA SATIVA L.)", FLAVORING AGENT OR ADJUVANT
" CARAWAY, OIL (CARUM CARVI L.)", FLAVORING AGENT OR ADJUVANT
 CARBOHYDRASE AND CELLULASE FROM ASPERGILLUS NIGER, PROCESSING AID
" CARBOHYDRASE AND PROTEASE, MIXTURE, FROM BACILLUS SUBTILIS", ENZYME
 CARBOHYDRASE FROM ASPERGILLUS ORYZAE,Not Available
 CARBOHYDRASE FROM BACILLUS AMYLOLIQUEFACIENS, ENZYME
 CARBOHYDRASE FROM BACILLUS LICHENIFORMIS, ENZYME
 CARBOHYDRASE FROM BACILLUS SUBTILIS, ENZYME
 CARBOHYDRASE FROM RHIZOPUS ORYZAE, PROCESSING AID
 CARBOHYDRASE FROM SACCHAROMYCES SPP., ENZYME
" CARBOHYDRASE/PROTEINASE PREPARATION, BACILLUS LICHENIFORMIS", ENZYME
 CARBOXYMETHYL CELLULOSE," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, HUMECTANT, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
 CARBOXYMETHYL HYDROXYETHYL CELLULOSE," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
 CARDAMOM (ELLETARIA CARDAMOMUM (L.) MATON), FLAVORING AGENT OR ADJUVANT
 CARDAMOM OLEORESIN, FLAVORING AGENT OR ADJUVANT
" CARDAMOM SEED, OIL (ELLETARIA CARDAMOMUM (L.) MATON)", FLAVORING AGENT OR ADJUVANT
 3-CARENE, FLAVORING AGENT OR ADJUVANT
 CARMINE (COCCUS CACTI L.)," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT"
 CARNAUBA WAX (COPERNICIA CERIFERA (ARRUDA) MART.)," ANTICAKING AGENT OR FREE-FLOW AGENT, FORMULATION AID, LUBRICANT OR RELEASE AGENT, PH CONTROL AGENT, PROCESSING AID, SURFACE-FINISHING AGENT"
 L-CARNITINE, NUTRIENT SUPPLEMENT
" CAROB BEAN, EXTRACT (CERATONIA SILIQUA L.)", FLAVORING AGENT OR ADJUVANT
 BETA-CAROTENE," ANTIOXIDANT, COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT, PROCESSING AID, SURFACE-FINISHING AGENT"
" CARRAGEENAN, AMMONIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
" CARRAGEENAN, AMMONIUM SALT OF, WITH POLYSORBATE 80"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
" CARRAGEENAN, CALCIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
" CARRAGEENAN, CALCIUM SALT OF, WITH POLYSORBATE 80"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
" CARRAGEENAN, POTASSIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
" CARRAGEENAN, POTASSIUM SALT OF, WITH POLYSORBATE 80"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
 CARRAGEENAN SALTS WITH POLYSORBATE 80, DRYING AGENT
" CARRAGEENAN, SODIUM SALT OF"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, STABILIZER OR THICKENER"
" CARRAGEENAN, SODIUM SALT OF, WITH POLYSORBATE 80"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
 CARRAGEENAN WITH POLYSORBATE 80," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
" CARROT, OIL (DAUCUS CAROTA L.)"," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT"
 CARVACROL, FLAVORING AGENT OR ADJUVANT
 CARVACRYL ETHYL ETHER," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 CARVEOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 4-CARVOMENTHENOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 CARVOMENTHOL, FLAVORING AGENT OR ADJUVANT
 CARVONE, FLAVORING AGENT OR ADJUVANT
 CIS-CARVONE OXIDE, FLAVORING AGENT OR ADJUVANT
 CARVYL ACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 CARVYL PALMITATE, FLAVORING AGENT OR ADJUVANT
 CARVYL PROPIONATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BETA-CARYOPHYLLENE," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT"
 CARYOPHYLLENE ALCOHOL, FLAVORING AGENT OR ADJUVANT
 CARYOPHYLLENE ALCOHOL ACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BETA-CARYOPHYLLENE ALCOHOL ACETATE,Not Available
 BETA-CARYOPHYLLENE ALCOHOL, FLAVORING AGENT OR ADJUVANT
 BETA-CARYOPHYLLENE OXIDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" CASCARA, BITTERLESS, EXTRACT (RHAMNUS PURSHIANA DC.)"," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" CASCARILLA BARK, EXTRACT (CROTON SPP.)", FLAVORING AGENT OR ADJUVANT
" CASCARILLA BARK, OIL (CROTON SPP.)", FLAVORING AGENT OR ADJUVANT
